"","municipio","cod_municipio","uf","area_km2","desmatado","incremento","floresta","nuvem","nao_observado","nao_floresta","hidrografia","soma","ano"
"100","São Miguel do Guamá",1507607,"PA",1117,800.6,49.5,0,0,316.6,15.2,32.2,104,2003
"101","São Mateus do Maranhão",2111508,"MA",793,456.5,0,0,0,223.1,106.9,9,100,2003
"102","São Luiz",1400605,"RR",1537,460.9,23,1073.9,0,0.1,0,2.1,100,2003
"103","São Luís Gonzaga do Maranhão",2111409,"MA",981,643.5,0,0.4,0,335.4,1.7,0,100,2003
"104","São Luís",2111300,"MA",839,328.2,18.5,219.3,0,0.4,0,291.1,100,2003
"105","São José dos Quatro Marcos",5107107,"MT",1284,1172,0.1,75.9,0,0,36.1,0,100,2003
"106","São José dos Basílios",2111250,"MA",366,250.4,8.5,21.1,0,81.8,0,12.7,100,2003
"107","São José do Xingu",5107354,"MT",7465,4019.1,35.2,3078.1,0,4.6,306.2,57,99,2003
"108","São José do Rio Claro",5107305,"MT",4563,1391.7,76.8,2065.6,0,0,1103.6,2.1,100,2003
"109","São José do Povo",5107297,"MT",443,27.4,0,0,0,0,416.1,0,100,2003
"110","São José de Ribamar",2111201,"MA",390,81.3,7.6,101.4,0,35.1,0,172.2,100,2003
"111","São João do Paraíso",2111052,"MA",2070,240.6,4.3,33.8,0,0.8,1794.8,0,100,2003
"112","São João do Carú",2111029,"MA",620,377.9,0,242.1,0,0,0,0,100,2003
"113","São João do Araguaia",1507508,"PA",1288,772.2,21.2,326,0,0,73.7,116.1,99,2003
"114","São João de Pirabas",1507474,"PA",703,158.4,24.5,165.1,0.1,285.1,12.9,81.4,99,2003
"115","São João da Ponta",1507466,"PA",197,91,9.1,0,0,106,1.7,11.3,106,2003
"116","São João da Baliza",1400506,"RR",4305,414.4,14.5,3884.7,0,0.1,0.4,5.4,100,2003
"117","São João Batista",2111003,"MA",700,148.6,0,57.4,0,0,358.8,135.2,100,2003
"118","São Geraldo do Araguaia",1507458,"PA",3181,2403.5,19.5,434.2,0,0,314.1,29.2,100,2003
"119","São Gabriel da Cachoeira",1303809,"AM",112476,1160.7,19.4,108690,282.7,370.6,489.7,1482.3,99,2003
"120","São Francisco do Pará",1507409,"PA",480,398.5,16.7,0,0,81.8,1.3,0.1,100,2003
"121","São Francisco do Guaporé",1101492,"RO",11095,1931.4,140.3,5995.9,0,0,3144.7,23,100,2003
"122","São Francisco do Brejão",2110856,"MA",751,698,0,53,0,0,0,0,100,2003
"123","São Félix do Xingu",1507300,"PA",84253,11311.3,1318,68208.2,0,6.5,3788,939,100,2003
"124","São Félix do Tocantins",1720150,"TO",1923,0,0,0,0,1923.1,1923.4,0,200,2003
"125","São Félix do Araguaia",5107859,"MT",16851,3731.8,159.1,6876.9,0,0.7,6180.1,61.5,99,2003
"126","São Félix de Balsas",2110807,"MA",2057,0,0,12.5,0,0,2044.5,0,100,2003
"127","São Felipe D'Oeste",1101484,"RO",547,475.4,2.6,71.6,0,0,0,0,100,2003
"128","São Domingos do Maranhão",2110708,"MA",1168,618.6,69.2,457.1,0,0,92.3,0,100,2003
"129","São Domingos do Capim",1507201,"PA",1686,1191.9,41.3,0,0,495.3,15.2,35.9,103,2003
"130","São Domingos do Azeitão",2110658,"MA",974,0,0,0,0,1071.7,974.2,0,210,2003
"131","São Domingos do Araguaia",1507151,"PA",1397,1194.5,28.5,202.5,0,0,0,0,100,2003
"132","São Caetano de Odivelas",1507102,"PA",752,216,17.9,0,0,401.2,8.8,313.5,124,2003
"133","São Bento do Tocantins",1720101,"TO",1112,341.4,4.2,84.5,0,1.4,684.7,0,100,2003
"134","São Bento",2110500,"MA",465,362.8,0,1.9,0,0,99.8,0.5,99,2003
"135","Santo Antônio dos Lopes",2110302,"MA",781,278.6,0,1.5,0,500.9,0,0,100,2003
"136","Santo Antônio do Tauá",1507003,"PA",540,309.9,7.4,0,0,231.2,6.8,96.9,119,2003
"137","Santo Antônio do Leverger",5107800,"MT",12262,987.6,16.9,1152.8,0,0.4,10099.5,21.7,99,2003
"138","Santo Antônio do Leste",5107792,"MT",3597,1.9,1,64.9,0,0,3530.2,0,99,2003
"139","Santo Antônio do Içá",1303700,"AM",12737,127.1,0.7,12001.2,1.8,65.2,90.4,451.3,99,2003
"140","Santo Afonso",5107263,"MT",1172,897.3,8.7,270.3,0,0,4.4,0,100,2003
"141","Santarém Novo",1506906,"PA",230,127.9,26.5,0,0,105.3,1.9,8.8,106,2003
"142","Santarém",1506807,"PA",22890,4233.4,79.8,14101.2,3.7,0.4,663.5,3887.8,99,2003
"143","Santana do Araguaia",1506708,"PA",11609,5679.9,340.4,5055.5,0,0.3,808.4,64.9,99,2003
"144","Santana",1600600,"AP",1578,65.4,2.4,527.3,0.4,0.6,940,44.3,100,2003
"145","Santa Terezinha do Tocantins",1720002,"TO",271,71.8,0.7,25.7,0,0.5,173,0,99,2003
"146","Santa Terezinha",5107776,"MT",6459,2170.4,126.1,2997.5,0,0.2,1243.7,47.2,100,2003
"147","Santa Tereza do Tocantins",1719004,"TO",543,0,0,0,0,0,543.7,0,100,2003
"148","Santa Rosa do Tocantins",1718907,"TO",1804,0,0,0,0,1804.2,1804.1,0,200,2003
"149","Santa Rosa do Purus",1200435,"AC",6350,54.4,10.3,6231.7,0,28.9,0.1,34.9,100,2003
"150","Santa Rita do Trivelato",5107768,"MT",4756,621.5,90.7,727.4,0,0,3407.1,0,100,2003
"151","Santa Rita do Tocantins",1718899,"TO",3285,16.6,0.6,0,0,1110.2,3247,0.2,133,2003
"152","Santa Rita",2110203,"MA",718,182.5,4,345.1,0,0,168.6,21.8,100,2003
"153","Santa Maria do Tocantins",1718881,"TO",1419,0,0,0,0,0,1410.6,9.3,100,2003
"154","Santa Maria do Pará",1506609,"PA",460,396.8,20.2,0,0,64.2,0,0,100,2003
"155","Santa Maria das Barreiras",1506583,"PA",10351,4896.2,199.9,2896.9,0,0,2508.9,49,99,2003
"156","Santa Luzia do Paruá",2110039,"MA",908,862,2.4,15.2,0,0.3,30.5,0,99,2003
"157","Santa Luzia do Pará",1506559,"PA",1367,1212.1,1.8,128.3,0,26.6,0,0,100,2003
